Lot,Wafer,X,Y,temp,Site,Bin,Split,IDDS_Hard_VDD_All_VDD33,IDDS_Hard_VDDA_VDD33,IDDS_Hard_VDDP_VDD33,IDDS_Hard_VDDC_VDD33,IDDS_Hard_VDDI_VDD33,IDDS_Soft_VDD_All_VDD33,IDDS_Soft_VDDA_VDD33,IDDS_Soft_VDDP_VDD33,IDDS_Soft_VDDC_VDD33,IDDS_Soft_VDDI_VDD33,IDDD_VDD_All_VDD33,IDDD_VDDA_VDD33,IDDD_VDDP_VDD33,IDDD_VDDC_VDD33,IDDD_VDDI_VDD33,PCP_3p9,NCP_0p75,Analog_AMONITOR_BGR,Analog_AMONITOR_VRTOP,Analog_AMONITOR_REFT,Analog_AMONITOR_ASPCML,Analog_AMONITOR_REFB,Analog_AMONITOR_DAC_OUT0,Analog_AMONITOR_DAC_OUT1,Ana_Temp_Rd1,Ana_Temp_Rd2,Ana_Temp_Rd3,Ana_Temp24_Rd1,Ana_Temp24_Rd2,Ana_Temp24_Rd3,ADC_PGA_GAIN1_1_Max_Test,ADC_PGA_GAIN1_1_Min_Test,ADC_PGA_GAIN1_2_Max_Test,ADC_PGA_GAIN1_2_Min_Test,ADC_ASP_GAIN_Max_Test,ADC_ASP_GAIN_Min_Test,ADC_ADC1_Max_Test,ADC_ADC1_Min_Test,ADC_ADC2_Max_Test,ADC_ADC2_Min_Test,ADC_RNG_Max_Test,ADC_RNG_Min_Test,ADC_DACOFFSET1_Max_Test,ADC_DACOFFSET1_Min_Test,ADC_DACOFFSET2_Max_Test,ADC_DACOFFSET2_Min_Test,ADC_DACOFFSET3_Max_Test,ADC_DACOFFSET3_Min_Test,Black_Signal_G1_Test,Black_Signal_G2_Test,Black_Signal_R_Test,Black_Signal_B_Test,Black_GGRatio_Test,Black_CFPN_Test,Black_RFPN_Test,Black_Defect_High_Test,White_Sens_G1_Test,White_Sens_G2_Test,White_Sens_R_Test,White_Sens_B_Test,White_Signal_G_Test,White_Signal_G2_Test,White_Signal_R_Test,White_Signal_B_Test,White_Ratio_GG_Test,White_Ratio_RG_Test,White_Ratio_BG_Test,White_Defect_High_Test,White_Defect_Low_Test,White_AdjacentDefect_Flat,White_CFPN_Test,White_RFPN_Test,White_Blotch_Test,White_SNR_G1_Test,White_SNR_G2_Test,White_SNR_R_Test,White_SNR_B_Test,White_VAR1,White_VAR2,White_VAR3,White_VAR4,White_VAR5,White_VAR6,White_VAR7,White_VAR8,White_VAR9,White_CG1,White_CG2,White_CG3,White_CG4,White_CG5,White_CG6,White_CG7,White_CG8,White_CG9,White2_Sens_G1_Test,White2_Sens_G2_Test,White2_Sens_R_Test,White2_Sens_B_Test,White2_Signal_G_Test,White2_Signal_G2_Test,White2_Signal_R_Test,White2_Signal_B_Test,White2_Ratio_GG_Test,White2_Ratio_RG_Test,White2_Ratio_BG_Test,White2_Defect_High_Test,White2_Defect_Low_Test,White2_AdjacentDefect_Fla,White2_CFPN_Test,White2_RFPN_Test,White2_Blotch_Test,White2_SNR_G1_Test,White2_SNR_G2_Test,White2_SNR_R_Test,White2_SNR_B_Test,White3_Sens_G1_Test,White3_Sens_G2_Test,White3_Sens_R_Test,White3_Sens_B_Test,White3_Signal_G_Test,White3_Signal_G2_Test,White3_Signal_R_Test,White3_Signal_B_Test,White3_Ratio_GG_Test,White3_Ratio_RG_Test,White3_Ratio_BG_Test,White3_Defect_High_Test,White3_Defect_Low_Test,White3_AdjacentDefect_Fla,White3_CFPN_Test,White3_RFPN_Test,White3_Blotch_Test,White3_SNR_G1_Test,White3_SNR_G2_Test,White3_SNR_R_Test,White3_SNR_B_Test,Lag1_GreenMean_Test,Lag2_GreenMean_Test,Lag_Diff_G1_Test,Lag_Diff_G2_Test,Lag_Diff_Red_Test,Lag_Diff_Blue_Test,Lag3_GreenMean_Test,Lag4_GreenMean_Test,Lag4_Diff_G1_Test,Lag4_Diff_G2_Test,Lag4_Diff_Red_Test,Lag4_Diff_Blue_Test,Dark_Signal_G_Test,Dark_Signal_G2_Test,Dark_Signal_R_Test,Dark_Signal_B_Test,Dark_BP_1280Code_Test,Dark_2Adj_Flat_Test,Dark_Variation_G1_Test,Dark_Variation_G2_Test,Dark_Variation_R_Test,Dark_Variation_B_Test,Dark_Uniformity_Test,Dark_Defect_L0_200,Dark_Defect_L201_400,Dark_Defect_L401_600,Dark_Defect_L601_800,Dark_Defect_L801_1000,Dark_Defect_L1001_1200,Dark_Defect_L1201_1400,Dark_Defect_L1401_1600,Dark_Defect_L1601_2000,Dark_Defect_L2001_2400,Dark_Defect_L2401_2800,Dark_Defect_L2801_3200,Dark_Defect_L3201_3600,Dark_Defect_L3601_4000,Dark_Defect_L4001_4095,Dark2_Signal_G_Test,Dark2_Signal_G2_Test,Dark2_Signal_R_Test,Dark2_Signal_B_Test,Dark2_BP_1280Code_Test,Dark2_2Adj_Flat_Test,Dark2_Variation_G1_Test,Dark2_Variation_G2_Test,Dark2_Variation_R_Test,Dark2_Variation_B_Test,Dark2_Uniformity_Test,Dark3_Signal_G_Test,Dark3_Signal_G2_Test,Dark3_Signal_R_Test,Dark3_Signal_B_Test,Dark3_BP_1280Code_Test,Dark3_2Adj_Flat_Test,Dark3_Variation_G1_Test,Dark3_Variation_G2_Test,Dark3_Variation_R_Test,Dark3_Variation_B_Test,Dark3_Uniformity_Test,Dark4_Signal_G_Test,Dark4_Signal_G2_Test,Dark4_Signal_R_Test,Dark4_Signal_B_Test,Dark4_BP_1280Code_Test,Dark4_2Adj_Flat_Test,Dark4_Variation_G1_Test,Dark4_Variation_G2_Test,Dark4_Variation_R_Test,Dark4_Variation_B_Test,Dark4_Uniformity_Test,Sat_Signal_G_Test,Sat_Signal_G2_Test,Sat_Signal_R_Test,Sat_Signal_B_Test,Sat_Std_Test,Sat_Uniformity_Test,Sat_CFPN_Test,Sat_RFPN_Test,Sat2_Signal_G_Test,Sat2_Signal_G2_Test,Sat2_Signal_R_Test,Sat2_Signal_B_Test,Sat2_Std_Test,Sat2_Uniformity_Test,Sat2_CFPN_Test,Sat2_RFPN_Test
17B636,#20,100,104,60.10,2,1,1,7.4844e-06,1.6055e-06,1.8496e-06,3.8691e-06,1.601563e-07,0.0011725,1.582e-06,2.2461e-06,0.0011582,1.04492e-05,0.0266602,0.0154453,0.0038672,0.0025313,0.0048164,3.0265,-0.8268582,1.2314,2.3906,2.1674,1.68,1.1998,1.4449,1.1886,16780.0,16779.0,16771.0,16931.0,16930.0,16927.0,139.75,61.0,139.0,108.5,1355.3,-2.5,18.25,0.0,21.5,0.0,1139.3,-6.25,5.5,-3.0,14.5,3.75,71.25,57.5,271.0,271.0,270.0,271.0,1.0,14.5754,15.2941,239903.0,8.5236,8.5236,8.5186,8.5236,1702.0,1701.0,1701.0,1702.0,0.9994125,0.9997061,1.0003,17.0,2.0,16.0,20.2817,19.7059,40.0,37.7002,37.8166,37.4422,37.7336,426.4808,440.9446,434.3777,425.2757,427.5843,435.8645,436.0457,430.6346,446.7855,45.0222,46.7086,45.7537,45.1548,45.4581,46.1496,46.4518,45.7695,47.4322,8.5236,8.5236,8.5136,8.5236,851.0,850.0,850.0,851.0,0.9988249,0.9994121,1.0006,15.0,2.0,15.0,25.9921,26.3739,0.0,34.7903,34.5491,35.061,34.9861,8.3634,8.3634,8.3667,8.3667,2505.0,2506.0,2506.0,2506.0,1.0004,1.0002,1.0002,16.0,2.0,16.0,-15.9524,13.4328,40.0,39.1619,39.2475,39.1181,39.2499,264.0,263.0,0.0,1.0,1.0,0.0,263.0,263.0,0.0,0.0,0.0,0.0,123.0,124.0,123.0,124.0,149.0,24.0,75.0126,76.8017,75.7256,83.4082,47.0,236848.0,2765.0,101.0,17.0,8.0,12.0,7.0,10.0,16.0,26.0,22.0,18.0,13.0,11.0,30.0,352.0,352.0,352.0,352.0,136.0,22.0,53.1502,51.7335,53.4122,57.2824,35.0,405.0,406.0,405.0,405.0,165.0,25.0,72.8612,75.7479,74.1474,81.3221,45.0,453.0,454.0,454.0,454.0,177.0,27.0,86.0097,88.345,88.1217,91.9002,57.0,3050.0,3050.0,3049.0,3049.0,49.5961,121.0,-12.2579,-12.9286,3042.0,3042.0,3041.0,3041.0,48.8588,118.0,-13.5714,-13.3151
17B636,#20,101,104,60.10,3,1,1,7.2168e-06,1.5273e-06,1.8184e-06,3.6367e-06,2.34375e-07,0.0011628,1.582e-06,2.1289e-06,0.0011484,1.06055e-05,0.0278262,0.0163125,0.0041543,0.0025508,0.0048086,3.0303,-0.8040897,1.2594,2.3953,2.1928,1.7049,1.2252,1.4764,1.2068,16983.0,16977.0,16980.0,17136.0,17130.0,17131.0,134.25,62.0,136.25,97.5,1362.8,-5.5,18.5,0.0,21.75,0.0,1135.8,-3.5,3.75,-2.75,12.25,3.0,68.75,59.25,279.0,279.0,279.0,279.0,1.0,-2.5238,-2.4076,239904.0,8.5537,8.5537,8.5487,8.5487,1708.0,1708.0,1707.0,1707.0,1.0,0.9994145,0.9994145,0.0,0.0,0.0,-12.4325,5.1933,0.0,37.7851,37.7557,37.7038,37.9916,435.0157,432.6732,417.3164,429.796,447.7795,419.5813,418.7008,421.6313,429.2983,45.6862,45.484,43.834,45.419,47.4374,44.1967,44.5217,44.7691,45.4527,8.5537,8.5537,8.5437,8.5537,854.0,853.0,853.0,854.0,0.998829,0.9994142,1.0006,0.0,0.0,0.0,-6.1587,3.2773,0.0,34.5682,34.7102,34.9315,34.712,8.3968,8.3968,8.3901,8.3901,2515.0,2513.0,2513.0,2513.0,0.9992048,0.9996022,0.9996022,0.0,0.0,0.0,-15.1786,6.5672,0.0,39.0152,39.1763,39.1283,39.0241,268.0,268.0,0.0,1.0,0.0,0.0,269.0,267.0,2.0,1.0,2.0,2.0,126.0,127.0,126.0,127.0,149.0,0.0,68.313,75.161,77.1804,71.303,8.0,236457.0,3142.0,101.0,24.0,13.0,14.0,7.0,7.0,19.0,25.0,28.0,26.0,26.0,9.0,6.0,362.0,363.0,362.0,363.0,136.0,0.0,41.4339,46.2004,45.2764,42.4501,8.0,416.0,417.0,416.0,416.0,167.0,0.0,67.8853,74.3965,77.1766,71.068,8.0,464.0,465.0,464.0,465.0,186.0,0.0,82.8865,88.51,92.1646,87.1182,8.0,3029.0,3029.0,3028.0,3028.0,46.2997,108.0,-10.873,-13.6555,3022.0,3022.0,3021.0,3021.0,45.8696,107.0,-10.9286,-13.1218
17B636,#20,102,104,60.10,4,1,1,7.4316e-06,1.5664e-06,2.0156e-06,3.6172e-06,2.324219e-07,0.0011631,1.5625e-06,2.1484e-06,0.0011484,1.0918e-05,0.0270488,0.0160078,0.0037715,0.0025449,0.0047246,3.0262,-0.8693927,1.2471,2.3968,2.2015,1.7033,1.2082,1.4595,1.2251,16744.0,16747.0,16738.0,16885.0,16884.0,16883.0,130.5,59.25,132.0,98.5,1317.7,-4.5,17.5,0.0,20.25,0.0,1100.7,-4.0,4.25,-5.25,12.0,4.25,69.25,59.25,277.0,277.0,277.0,277.0,1.0,2.0119,-2.8025,239904.0,8.2833,8.2833,8.2883,8.2782,1654.0,1654.0,1655.0,1653.0,1.0,1.0006,0.9993954,0.0,0.0,0.0,-10.8175,4.0588,0.0,37.8442,37.9387,37.7224,37.6934,403.8248,409.799,407.4525,404.4177,403.6571,401.6381,382.2526,392.3043,400.9438,43.8064,44.5675,44.5624,44.0701,44.1382,43.9658,41.9325,43.1479,44.1876,8.2732,8.2732,8.2732,8.2732,826.0,827.0,826.0,826.0,1.0012,0.999395,0.999395,0.0,0.0,0.0,-8.1548,-3.3908,0.0,34.7385,35.0685,34.7379,34.6155,8.1163,8.1163,8.123,8.123,2431.0,2432.0,2433.0,2433.0,1.0004,1.0006,1.0006,0.0,0.0,0.0,-17.1508,6.1303,0.0,39.1793,39.2272,39.1009,39.0411,255.0,251.0,3.0,2.0,2.0,3.0,254.0,253.0,0.0,0.0,0.0,0.0,125.0,126.0,125.0,126.0,135.0,2.0,62.4463,71.0335,64.5865,62.1159,8.0,236924.0,2732.0,77.0,9.0,14.0,11.0,11.0,14.0,25.0,13.0,26.0,22.0,17.0,5.0,4.0,364.0,365.0,364.0,365.0,115.0,0.0,37.6082,42.6345,38.9905,37.5731,8.0,416.0,416.0,416.0,416.0,149.0,2.0,62.0611,70.2347,64.1295,62.1539,7.0,463.0,464.0,463.0,464.0,162.0,2.0,78.4236,83.934,78.2201,77.8328,10.0,2921.0,2921.0,2920.0,2919.0,54.0664,151.0,-10.5952,-12.3193,2915.0,2915.0,2914.0,2913.0,53.3078,148.0,-11.0238,-11.7479
17B636,#20,103,104,60.10,5,1,1,8.123e-06,2.291e-06,1.9258e-06,3.8594e-06,4.6875e-08,0.0011943,1.9922e-06,1.8945e-06,0.0011797,1.06836e-05,0.026918,0.0155,0.0039863,0.0025469,0.0048848,3.0243,-0.821041,1.2211,2.3778,2.1274,1.6533,1.1858,1.4095,1.2255,17284.0,17282.0,17275.0,17429.0,17429.0,17427.0,138.25,62.0,136.25,98.75,1376.7,-4.25,18.75,0.0,23.0,0.0,1141.7,-4.25,6.0,-2.5,13.75,3.25,71.0,61.0,225.0,226.0,225.0,226.0,1.0044,2.0794,2.9244,239904.0,8.6388,8.6388,8.6438,8.6438,1725.0,1726.0,1726.0,1726.0,1.0006,1.0003,1.0003,0.0,0.0,0.0,-12.6627,-5.2689,0.0,37.9876,37.7902,37.7612,37.9265,447.227,451.6581,441.0429,441.5387,445.3137,442.7942,438.8097,439.2439,448.2824,46.6596,47.2418,45.831,46.0932,46.6863,46.255,46.154,46.2868,47.2523,8.6338,8.6338,8.6338,8.6438,862.0,863.0,862.0,863.0,1.0012,0.9994203,1.0006,0.0,0.0,0.0,-6.7897,3.3151,0.0,34.9178,34.8437,34.6063,34.7575,8.4869,8.4869,8.4869,8.4869,2542.0,2543.0,2542.0,2542.0,1.0004,0.9998033,0.9998033,0.0,0.0,0.0,-19.1825,8.3361,0.0,39.1272,39.28,38.9475,39.2177,276.0,274.0,1.0,1.0,2.0,0.0,275.0,273.0,2.0,1.0,2.0,1.0,130.0,131.0,130.0,131.0,147.0,0.0,67.8303,76.5147,79.7054,63.2449,15.0,235604.0,4023.0,76.0,30.0,10.0,9.0,10.0,11.0,23.0,18.0,27.0,24.0,17.0,11.0,11.0,271.0,272.0,271.0,271.0,116.0,0.0,41.4238,47.2782,49.5838,38.7251,13.0,326.0,326.0,326.0,326.0,159.0,0.0,67.4191,75.7754,78.3138,63.0776,14.0,375.0,376.0,375.0,375.0,171.0,0.0,83.4329,90.4215,91.9165,78.7101,18.0,3077.0,3077.0,3077.0,3076.0,61.367,187.0,11.7778,16.5462,3072.0,3072.0,3071.0,3070.0,60.7153,184.0,11.8294,16.5882
17B636,#20,104,104,60.10,6,1,1,7.0527e-06,1.2578e-06,2.0332e-06,3.4258e-06,3.359375e-07,0.0011815,1.3477e-06,2.0703e-06,0.001168,1.01172e-05,0.0259805,0.0148047,0.0038203,0.0025664,0.0047891,3.0315,-0.8441222,1.1708,2.3635,2.0513,1.5892,1.1341,1.3735,1.1653,15407.0,15405.0,15404.0,15560.0,15552.0,15551.0,145.75,61.5,144.25,28.25,1436.2,-3.0,18.25,0.0,22.0,0.0,1212.7,-14.25,5.5,-1.25,13.75,1.5,69.25,60.25,282.0,283.0,282.0,283.0,1.0035,2.8413,2.5336,239904.0,8.9243,8.9243,8.9243,8.9243,1782.0,1783.0,1782.0,1782.0,1.0006,0.9997195,0.9997195,0.0,0.0,0.0,-14.1032,-4.8445,0.0,37.7273,37.6789,37.8409,37.7004,476.7666,472.7535,458.6866,463.1056,474.6955,469.9086,465.7527,462.4194,468.2281,48.1433,47.8962,46.437,46.8749,48.1911,47.7039,47.4154,47.0284,47.7625,8.9143,8.9143,8.9042,8.9143,890.0,889.0,889.0,890.0,0.9988764,0.9994379,1.0006,0.0,0.0,0.0,-6.9603,-3.8067,0.0,34.7439,34.8725,34.8439,34.8395,8.7607,8.7607,8.7674,8.764,2624.0,2625.0,2626.0,2625.0,1.0004,1.0006,1.0002,0.0,0.0,0.0,-19.119,5.7479,0.0,39.292,39.4444,39.5102,39.1207,285.0,285.0,0.0,0.0,0.0,0.0,286.0,285.0,0.0,0.0,1.0,1.0,125.0,126.0,125.0,126.0,148.0,2.0,74.7287,65.3018,85.3988,72.7688,11.0,235978.0,3611.0,123.0,21.0,10.0,10.0,8.0,13.0,19.0,18.0,22.0,21.0,24.0,12.0,14.0,374.0,375.0,374.0,374.0,136.0,2.0,46.2876,39.4667,52.5548,45.6315,11.0,431.0,432.0,431.0,432.0,160.0,2.0,73.3651,65.2059,83.8393,72.0586,12.0,483.0,484.0,483.0,484.0,173.0,2.0,85.4059,79.0367,96.2943,86.6927,13.0,3218.0,3218.0,3218.0,3217.0,47.3748,114.0,-11.496,-15.8403,3212.0,3212.0,3211.0,3211.0,46.8086,113.0,-11.5913,-15.4874
17B636,#20,105,104,60.10,7,1,1,7.5332e-06,1.5313e-06,1.9082e-06,3.8535e-06,2.402344e-07,0.0011813,1.2109e-06,1.875e-06,0.001168,1.02344e-05,0.0260391,0.0148984,0.0038516,0.0025371,0.004752,3.0293,-0.8177258,1.1584,2.3681,2.0535,1.588,1.1287,1.3609,1.1733,16203.0,16206.0,16210.0,16362.0,16355.0,16355.0,144.0,62.75,135.5,81.0,1404.3,-5.25,18.5,0.0,23.75,0.0,1157.3,-6.75,5.75,-3.5,14.5,2.0,70.25,57.25,259.0,260.0,259.0,260.0,1.0039,2.123,2.9958,239904.0,8.739,8.739,8.739,8.739,1745.0,1745.0,1745.0,1745.0,1.0,1.0,1.0,0.0,0.0,0.0,-9.8929,4.8193,0.0,37.8006,37.6494,37.8114,37.8751,467.1877,455.0916,472.8307,453.7884,456.4762,461.9911,449.8878,456.6046,454.903,48.4013,47.0238,48.9437,47.0346,47.2917,47.9023,46.664,47.3829,47.1982,8.734,8.734,8.734,8.734,872.0,873.0,872.0,872.0,1.0011,0.9994269,0.9994269,0.0,0.0,0.0,-7.2063,-3.3697,0.0,34.6148,34.9323,34.8587,34.6639,8.5871,8.5871,8.5871,8.5871,2572.0,2573.0,2572.0,2572.0,1.0004,0.9998057,0.9998057,0.0,0.0,0.0,-17.4802,6.2479,0.0,39.294,39.0853,39.1178,38.8604,279.0,276.0,1.0,1.0,0.0,1.0,278.0,276.0,1.0,0.0,0.0,1.0,128.0,129.0,128.0,129.0,146.0,2.0,66.1437,64.6756,79.4836,81.9373,18.0,235430.0,4135.0,138.0,20.0,19.0,13.0,6.0,6.0,18.0,30.0,28.0,19.0,25.0,5.0,12.0,334.0,335.0,334.0,335.0,130.0,2.0,40.8592,39.5372,49.5301,50.4853,15.0,390.0,391.0,390.0,391.0,161.0,2.0,66.1222,64.8998,78.1738,80.4289,16.0,441.0,442.0,441.0,442.0,179.0,2.0,80.8121,78.9752,92.394,95.9131,17.0,3175.0,3176.0,3174.0,3174.0,47.4486,116.0,11.7341,14.8151,3168.0,3169.0,3167.0,3167.0,46.9829,113.0,11.2262,14.458
17B636,#20,106,104,60.00,0,1,1,7.6426e-06,1.7715e-06,2.0586e-06,3.6445e-06,1.679688e-07,0.0011486,1.4453e-06,2.1289e-06,0.0011348,1.02148e-05,0.0260918,0.0149844,0.0039355,0.0025078,0.0046641,3.0268,-0.848876,1.1851,2.3721,2.0682,1.6064,1.1417,1.3742,1.197,16646.0,16646.0,16636.0,16788.0,16802.0,16796.0,140.5,64.5,138.75,66.5,1411.0,-6.0,18.75,0.0,22.25,0.0,1208.0,-9.5,4.75,-4.25,12.75,3.5,73.25,60.0,229.0,229.0,229.0,229.0,1.0,-2.5635,2.8908,239904.0,8.779,8.779,8.774,8.774,1753.0,1753.0,1752.0,1752.0,1.0,0.9994296,0.9994296,0.0,0.0,0.0,-12.4802,-4.1513,0.0,37.5041,37.6157,37.5417,37.6042,460.9696,473.2486,478.5492,465.8057,471.3907,479.7475,461.9729,459.0524,475.4233,47.7981,48.784,49.0758,48.3274,48.6652,49.1775,48.026,47.5969,48.9155,8.774,8.774,8.764,8.764,876.0,875.0,875.0,875.0,0.9988585,0.9994289,0.9994289,0.0,0.0,0.0,-6.1865,-3.8655,0.0,34.649,34.6538,34.5717,34.7385,8.6271,8.6271,8.6238,8.6305,2584.0,2584.0,2583.0,2585.0,1.0,0.999613,1.0004,0.0,0.0,0.0,-17.4444,-5.916,0.0,39.1376,39.0254,39.1745,38.9782,276.0,276.0,0.0,0.0,0.0,0.0,277.0,276.0,1.0,0.0,1.0,1.0,124.0,124.0,123.0,124.0,146.0,0.0,66.2579,77.8925,88.6601,72.4342,11.0,236254.0,3340.0,123.0,21.0,11.0,9.0,7.0,4.0,17.0,13.0,27.0,27.0,22.0,14.0,15.0,262.0,263.0,262.0,262.0,128.0,0.0,42.9866,49.6928,52.946,45.4721,11.0,318.0,319.0,318.0,319.0,152.0,0.0,66.1595,77.2232,87.7003,71.5739,10.0,370.0,371.0,370.0,370.0,167.0,0.0,82.0249,88.7522,104.261,86.4877,12.0,3215.0,3214.0,3214.0,3212.0,49.9677,133.0,11.5595,-14.8109,3206.0,3206.0,3205.0,3204.0,49.3255,129.0,10.7659,-15.6429
17B636,#20,107,104,60.00,1,1,1,7.0879e-06,1.625e-06,2.0977e-06,3.3262e-06,3.90625e-08,0.0011626,1.6406e-06,2.168e-06,0.0011484,1.03711e-05,0.026502,0.0153516,0.0039785,0.002541,0.0046309,3.0328,-0.8443724,1.1921,2.3659,2.0941,1.6238,1.1522,1.3883,1.2772,18626.0,18627.0,18618.0,18774.0,18776.0,18773.0,142.0,60.5,144.75,94.5,1374.0,-3.25,18.5,0.0,21.75,0.0,1142.2,-3.0,5.75,-2.25,14.75,3.5,67.75,61.25,256.0,257.0,256.0,257.0,1.0039,-2.0913,-2.458,239904.0,8.6739,8.6739,8.6739,8.6789,1732.0,1734.0,1732.0,1733.0,1.0012,0.999423,1.0,0.0,0.0,0.0,-13.1627,-4.3571,0.0,37.7923,37.9342,37.8259,37.6886,432.7099,461.0921,449.1116,448.4634,442.8053,447.0955,450.6463,438.6646,437.3908,45.477,48.2406,47.1611,46.9677,46.1981,46.8119,47.4059,46.0609,45.961,8.6939,8.6939,8.6839,8.6939,868.0,868.0,867.0,868.0,1.0,0.9988479,1.0,0.0,0.0,0.0,-7.746,3.5,0.0,34.7184,34.7939,34.7389,34.7981,8.5403,8.5403,8.537,8.5403,2558.0,2557.0,2557.0,2558.0,0.9996091,0.9998045,1.0002,0.0,0.0,0.0,-16.1587,6.5126,0.0,39.1962,39.1134,39.1933,39.3361,278.0,277.0,1.0,1.0,1.0,1.0,278.0,277.0,0.0,1.0,0.0,1.0,126.0,126.0,126.0,126.0,150.0,2.0,77.5411,76.6058,69.4726,65.7433,10.0,236351.0,3225.0,118.0,33.0,11.0,11.0,10.0,5.0,27.0,18.0,29.0,34.0,17.0,6.0,9.0,319.0,320.0,319.0,320.0,129.0,0.0,47.0912,45.4123,40.9778,41.441,12.0,375.0,375.0,375.0,375.0,164.0,2.0,77.4559,76.3386,68.8599,65.3221,12.0,425.0,426.0,425.0,426.0,175.0,2.0,93.717,92.2904,83.2288,82.905,10.0,3138.0,3138.0,3137.0,3136.0,44.0956,109.0,10.6905,-17.4454,3132.0,3132.0,3131.0,3130.0,43.6831,106.0,10.3651,-16.6303
17B636,#20,108,104,60.00,2,1,1,7.625e-06,1.7422e-06,1.9707e-06,3.6602e-06,2.519531e-07,0.0011646,1.6016e-06,2.2852e-06,0.0011504,1.0332e-05,0.0273008,0.0161172,0.0038574,0.0025098,0.0048164,3.0281,-0.896915,1.2221,2.3862,2.1458,1.6655,1.1848,1.4202,1.1754,15941.0,15929.0,15930.0,16083.0,16078.0,16081.0,140.75,61.75,144.5,103.75,1344.8,-4.75,17.75,0.0,21.5,0.0,1106.8,-10.25,6.25,-5.0,13.25,3.25,68.75,59.75,241.0,241.0,241.0,241.0,1.0,-2.4246,2.6933,239904.0,8.5887,8.5887,8.5787,8.5887,1715.0,1714.0,1713.0,1715.0,0.9994169,0.9991251,1.0003,0.0,0.0,0.0,-11.4246,4.3487,0.0,37.9703,37.9365,37.7792,37.8264,420.3419,428.2063,426.0226,439.8225,443.467,434.0646,428.4249,428.3282,432.3563,44.528,45.2987,44.916,46.5824,46.7711,45.8957,45.5779,45.385,45.8563,8.5837,8.5837,8.5837,8.5837,857.0,857.0,857.0,857.0,1.0,1.0,1.0,0.0,0.0,0.0,-7.7619,-3.3235,0.0,34.894,34.768,34.8641,34.7851,8.4635,8.4635,8.4602,8.4569,2535.0,2533.0,2534.0,2533.0,0.9992111,1.0,0.9996053,0.0,0.0,0.0,-16.373,-5.979,0.0,39.5161,39.2497,39.2291,39.446,271.0,271.0,0.0,1.0,0.0,1.0,271.0,270.0,1.0,0.0,1.0,2.0,128.0,128.0,128.0,128.0,152.0,0.0,72.3117,80.5257,74.8626,70.0371,17.0,236160.0,3460.0,104.0,9.0,11.0,6.0,10.0,10.0,15.0,17.0,25.0,35.0,18.0,13.0,11.0,292.0,292.0,292.0,292.0,127.0,0.0,43.1609,48.1807,44.3462,44.0604,16.0,348.0,348.0,348.0,348.0,159.0,0.0,71.6657,80.5679,74.6507,69.3022,18.0,399.0,399.0,398.0,399.0,172.0,0.0,88.0027,95.0107,91.7509,85.0318,17.0,3116.0,3116.0,3115.0,3114.0,41.168,87.0,9.0635,21.2773,3107.0,3107.0,3106.0,3105.0,40.7192,85.0,9.4405,21.3235
17B636,#20,109,104,60.00,3,1,1,7.9375e-06,1.5371e-06,2.0352e-06,4.0469e-06,3.183594e-07,0.0011431,1.582e-06,2.1484e-06,0.0011289,1.05078e-05,0.0266445,0.0154063,0.0039082,0.0024961,0.004834,3.0321,-0.8705186,1.189,2.3772,2.0958,1.6259,1.1549,1.3916,1.1973,15837.0,15832.0,15830.0,15976.0,15972.0,15976.0,145.5,61.75,140.25,95.5,1367.2,-6.75,20.25,0.0,21.25,0.0,1119.5,-3.0,5.0,-3.25,13.5,1.5,70.0,61.5,280.0,281.0,280.0,281.0,1.0036,-2.3929,2.6765,239904.0,8.734,8.734,8.729,8.734,1744.0,1744.0,1743.0,1744.0,1.0,0.9994266,1.0,0.0,0.0,0.0,-14.8849,-4.3361,0.0,37.8295,37.9504,38.0219,37.7458,442.1076,447.4704,438.6334,449.7979,454.8418,462.5756,451.3556,434.0748,448.0461,45.5692,46.1426,45.3962,46.6667,47.2088,47.7254,46.9414,45.0562,46.4356,8.7139,8.7139,8.7139,8.724,870.0,871.0,870.0,871.0,1.0011,0.9994256,1.0006,0.0,0.0,0.0,-7.5913,3.3445,0.0,34.7754,34.8563,35.0222,34.8582,8.6071,8.6071,8.6071,8.6071,2578.0,2578.0,2578.0,2578.0,1.0,1.0,1.0,0.0,0.0,0.0,-19.0556,-6.542,0.0,39.2012,39.6092,39.1072,39.2396,280.0,277.0,1.0,1.0,2.0,1.0,278.0,278.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,150.0,0.0,70.6206,77.7762,71.6326,80.2639,22.0,236336.0,3248.0,121.0,22.0,14.0,11.0,7.0,5.0,21.0,17.0,32.0,24.0,23.0,12.0,11.0,371.0,371.0,370.0,371.0,135.0,0.0,42.7768,47.746,42.239,48.6337,20.0,426.0,427.0,426.0,426.0,163.0,0.0,69.6104,76.2381,71.0318,79.2188,20.0,477.0,477.0,477.0,477.0,184.0,2.0,84.4063,90.8894,84.8415,95.4813,19.0,3200.0,3199.0,3199.0,3197.0,43.8601,110.0,-8.5675,-16.1807,3192.0,3192.0,3191.0,3190.0,43.4582,108.0,-9.0556,-15.9328
